Organisation,CityName,Country,Region,Access,C40,ReportingYear,TypeOfTarget,Sector,BaselineYear,BaselineEmissions,PercentageReductionTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Comment,CurrentPopulation,PopulationYear,CityLocation
Aarhus Kommune,Aarhus,Denmark,Europe,Public,,2017,Absolute target,,2008,,100,2030,,,,336000,2017,"(56.168393, 10.137373)"
Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,,2017,Absolute target,Buildings,2010,18320,19,2020,,,,30000,2015,"(31.323126, 34.344025)"
Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,,2017,Absolute target,Transport,2010,6893,6,2020,,,,30000,2015,"(31.323126, 34.344025)"
Ajuntament de Barcelona,Barcelona,Spain,Europe,Public,C40,2017,Absolute target,Total,2008,4053,18,2020,,,,1608746,2016,"(41.382271, 2.177506)"
Ajuntament de Barcelona,Barcelona,Spain,Europe,Public,C40,2017,Absolute target,Buildings,2008,2164,1,2020,,,"Residential, Commercial and Industrial",1608746,2016,"(41.382271, 2.177506)"
Ajuntament de Barcelona,Barcelona,Spain,Europe,Public,C40,2017,Absolute target,Transport,2007,1540,27,2020,,,"On road transportation, port and airport",1608746,2016,"(41.382271, 2.177506)"
Ajuntament de Barcelona,Barcelona,Spain,Europe,Public,C40,2017,Absolute target,Waste,2008,327,74,2020,,,,1608746,2016,"(41.382271, 2.177506)"
Ajuntament de Barcelona,Barcelona,Spain,Europe,Public,C40,2017,Absolute target,,2008,,,,,,,1608746,2016,"(41.382271, 2.177506)"
Alcaldía de Cuenca,Cuenca,Ecuador,Latin America,Public,,2017,Absolute target,Transport,2017,11000,,,,,"Tranvía, ciclovías, sensibilización sobre el uso del transporte privado",505585,2010,"(-2.908411, -79.004837)"
Alcaldía de Cuenca,Cuenca,Ecuador,Latin America,Public,,2017,Absolute target,Waste,2017,60000,,,,,Planta de biogas,505585,2010,"(-2.908411, -79.004837)"
Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,Public,,2017,Absolute target,,,,,,,,,275207,2015,"(9.304577, -75.390557)"
Auckland Council,"Auckland ",New Zealand,South Asia and Oceania,Public,C40,2017,Absolute target,Total,1990,8892000,10,2020,,,10%-20% reduction by 2020,1614400,2016,"(-36.815328, 174.741788)"
Auckland Council,"Auckland ",New Zealand,South Asia and Oceania,Public,C40,2017,Absolute target,Total,1990,8892000,40,2040,,,,1614400,2016,"(-36.815328, 174.741788)"
Auckland Council,"Auckland ",New Zealand,South Asia and Oceania,Public,C40,2017,Absolute target,Total,1990,8892000,50,2050,,,,1614400,2016,"(-36.815328, 174.741788)"
Ayuntamiento de Madrid,Madrid,Spain,Europe,Public,C40,2017,Absolute target,Transport,2012,3162,50,2030,,,,3165883,2016,"(40.1076253, -3.3875673)"
Ayuntamiento de Madrid,Madrid,Spain,Europe,Public,C40,2017,Absolute target,Total,1990,12953000,40,2030,,,,3165883,2016,"(40.1076253, -3.3875673)"
Ayuntamiento de Murcia,Murcia,Spain,Europe,Public,,2017,Absolute target,Total,2007,2141277,20,2020,,,We already reach this target in 2015,439902,2015,"(37.799013, -1.00495)"
Bærum Kommune,Bærum,Norway,Europe,Public,,2017,Absolute target,Total,2009,227359,40,2030,,,"As reported in May 2017 we are in the process of developing a climate strategy where emission reduction targets will be set. The strategy is for political consideration until February 2018, and proposes a target of 40 % GHG reduction by 2030.",122660,2016,"(59.920545, 10.593765)"
Bangkok Metropolitan Administration,"Bangkok ",Thailand,South Asia and Oceania,Public,C40,2017,Baseline scenario (business as usual) target,Transportation,2013,13760000,,2020,14910000,,,5696409,2015,"(13.787506, 100.710632)"
Bangkok Metropolitan Administration,"Bangkok ",Thailand,South Asia and Oceania,Public,C40,2017,Baseline scenario (business as usual) target,Stationary energy (buildings),2013,25600000,,2020,26850000,,,5696409,2015,"(13.787506, 100.710632)"
Bangkok Metropolitan Administration,"Bangkok ",Thailand,South Asia and Oceania,Public,C40,2017,Baseline scenario (business as usual) target,Waste,2013,4550000,,2020,4730000,,,5696409,2015,"(13.787506, 100.710632)"
